iter	Passed	Remaining
399	28334	42502
400	28387	42404
401	28437	42303
402	28483	42195
403	28506	42053
404	28563	41964
405	28621	41874
406	28669	41771
407	28709	41657
408	28743	41534
409	28774	41407
410	28822	41304
411	28872	41206
412	28909	41089
413	28943	40968
414	28991	40867
415	29032	40756
416	29075	40649
417	29112	40534
418	29155	40428
419	29213	40342
420	29268	40252
421	29336	40181
422	29378	40073
423	29434	39985
424	29483	39889
425	29540	39803
426	29581	39696
427	29628	39597
428	29673	39495
429	29718	39394
430	29768	39299
431	29814	39200
432	29861	39102
433	29912	39010
434	29952	38904
435	30000	38808
436	30052	38717
437	30096	38617
438	30146	38524
439	30175	38405
440	30216	38301
441	30262	38205
442	30308	38107
443	30342	37996
444	30384	37895
445	30437	37808
446	30483	37712
447	30534	37622
448	30579	37525
449	30647	37457
450	30703	37375
451	30754	37286
452	30803	37195
453	30832	37080
454	30850	36952
455	30874	36832
456	30896	36710
457	30916	36587
458	30935	36461
459	30954	36337
460	30974	36215
461	30996	36095
462	31013	35970
463	31038	35854
464	31067	35744
465	31084	35620
466	31111	35508
467	31129	35386
468	31158	35277
469	31180	35160
470	31200	35042
471	31221	34926
472	31243	34810
473	31271	34701
474	31290	34584
475	31311	34468
476	31332	34354
477	31352	34238
478	31372	34123
479	31394	34010
480	31416	33898
481	31437	33785
482	31459	33674
483	31476	33557
484	31504	33453
485	31524	33341
486	31551	33235
487	31580	33133
488	31603	33025
489	31625	32916
490	31651	32811
491	31673	32703
492	31696	32597
493	31714	32485
494	31734	32376
495	31755	32267
496	31780	32163
497	31805	32060
498	31832	31959
499	31853	31853
500	31874	31747
501	31892	31637
502	31917	31536
503	31939	31432
504	31958	31325
505	31981	31222
506	32004	31120
507	32031	31022
508	32056	30922
509	32075	30817
510	32098	30716
511	32103	30598
512	32122	30494
513	32142	30391
514	32164	30291
515	32185	30189
516	32203	30085
517	32228	29988
518	32246	29885
519	32273	29790
520	32308	29704
521	32335	29609
522	32359	29512
523	32390	29423
524	32419	29331
525	32443	29236
526	32483	29154
527	32520	29071
528	32556	28986
529	32591	28901
530	32620	28811
531	32652	28724
532	32680	28634
533	32709	28544
534	32735	28452
535	32770	28368
536	32793	28274
537	32820	28184
538	32851	28097
539	32873	28003
540	32899	27912
541	32925	27822
542	32948	27730
543	32977	27643
544	33002	27552
545	33031	27466
546	33055	27375
547	33081	27285
548	33108	27198
549	33143	27117
550	33170	27030
551	33205	26949
552	33233	26863
553	33269	26783
554	33306	26704
555	33338	26623
556	33366	26537
557	33399	26456
558	33419	26364
559	33448	26280
560	33476	26196
561	33494	26104
562	33519	26017
563	33552	25937
564	33585	25857
565	33621	25780
566	33644	25693
567	33678	25614
568	33707	25532
569	33735	25449
570	33767	25370
571	33792	25285
572	33828	25209
573	33856	25126
574	33886	25046
575	33916	24966
576	33953	24891
577	33983	24811
578	34022	24738
579	34048	24656
580	34072	24572
581	34105	24495
582	34138	24418
583	34161	24334
584	34189	24254
585	34212	24170
586	34245	24094
587	34270	24012
588	34286	23925
589	34308	23841
590	34331	23758
591	34360	23681
592	34380	23596
593	34403	23514
594	34430	23436
595	34456	23356
596	34483	23277
597	34509	23198
598	34537	23121
599	34565	23043
600	34589	22963
601	34610	22882
602	34640	22806
603	34663	22726
604	34685	22645
605	34704	22563
606	34724	22482
607	34746	22402
608	34770	22324
609	34798	22247
610	34824	22171
611	34849	22094
612	34872	22015
613	34897	21938
614	34921	21861
615	34944	21783
616	34974	21710
617	34994	21631
618	35014	21551
619	35038	21475
620	35059	21397
621	35085	21321
622	35109	21245
623	35130	21168
624	35156	21093
625	35185	21021
626	35204	20942
627	35233	20870
628	35256	20795
629	35278	20718
630	35295	20640
631	35318	20564
632	35338	20488
633	35361	20413
634	35385	20339
635	35412	20267
636	35434	20192
637	35447	20112
638	35462	20034
639	35479	19957
640	35496	19880
641	35512	19802
642	35525	19724
643	35541	19647
644	35558	19570
645	35572	19493
646	35574	19409
647	35591	19333
648	35604	19256
649	35608	19173
650	35622	19097
651	35635	19020
652	35640	18939
653	35653	18862
654	35666	18786
655	35680	18710
656	35693	18634
657	35705	18558
658	35721	18484
659	35737	18410
660	35749	18334
661	35759	18257
662	35773	18183
663	35786	18108
664	35799	18034
665	35813	17960
666	35826	17886
667	35839	17812
668	35851	17738
669	35864	17664
670	35874	17589
671	35888	17517
672	35903	17445
673	35916	17372
674	35931	17300
675	35945	17228
676	35960	17156
677	35976	17086
678	35990	17014
679	36004	16943
680	36017	16871
681	36024	16797
682	36036	16725
683	36048	16653
684	36062	16583
685	36073	16511
686	36084	16440
687	36095	16368
688	36105	16297
689	36115	16225
690	36126	16154
691	36136	16083
692	36147	16013
693	36156	15942
694	36158	15868
695	36169	15798
696	36179	15728
697	36189	15657
698	36199	15588
699	36209	15518
700	36220	15449
701	36230	15379
702	36241	15311
703	36253	15243
704	36263	15173
705	36271	15104
706	36281	15036
707	36291	14967
708	36302	14899
709	36312	14832
710	36316	14761
711	36324	14692
712	36332	14624
713	36341	14556
714	36349	14489
715	36358	14421
716	36366	14353
717	36374	14286
718	36380	14218
719	36388	14151
720	36396	14084
721	36403	14016
722	36411	13950
723	36418	13883
724	36426	13816
725	36433	13750
726	36441	13684
727	36448	13618
728	36455	13552
729	36462	13486
730	36469	13420
731	36476	13354
732	36483	13289
733	36489	13223
734	36497	13158
735	36503	13093
736	36509	13028
737	36515	12963
738	36521	12898
739	36527	12834
740	36533	12769
741	36539	12705
742	36546	12641
743	36552	12577
744	36558	12513
745	36564	12449
746	36571	12386
747	36578	12323
748	36584	12259
749	36590	12196
750	36597	12134
751	36603	12071
752	36609	12008
753	36616	11946
754	36622	11884
755	36629	11822
756	36637	11760
757	36643	11698
758	36649	11637
759	36656	11575
760	36663	11514
761	36669	11453
762	36675	11391
763	36681	11330
764	36687	11270
765	36693	11209
766	36699	11148
767	36705	11088
768	36711	11027
769	36718	10967
770	36724	10907
771	36731	10848
772	36737	10788
773	36743	10728
774	36750	10669
775	36757	10610
776	36763	10551
777	36770	10492
778	36776	10433
779	36784	10375
780	36790	10316
781	36796	10257
782	36803	10199
783	36809	10141
784	36815	10083
785	36821	10025
786	36828	9967
787	36834	9909
788	36840	9852
789	36847	9794
790	36854	9737
791	36860	9680
792	36866	9623
793	36872	9566
794	36878	9509
795	36884	9452
796	36890	9396
797	36896	9339
798	36903	9283
799	36908	9227
800	36915	9171
801	36921	9115
802	36926	9059
803	36933	9003
804	36940	8948
805	36947	8893
806	36953	8837
807	36960	8782
808	36966	8727
809	36973	8672
810	36980	8618
811	36986	8563
812	36993	8508
813	36999	8454
814	37006	8400
815	37012	8345
816	37020	8292
817	37027	8238
818	37034	8184
819	37041	8131
820	37048	8077
821	37056	8024
822	37062	7970
823	37069	7917
824	37076	7864
825	37083	7811
826	37089	7758
827	37096	7705
828	37102	7653
829	37109	7600
830	37117	7548
831	37124	7496
832	37131	7444
833	37137	7391
834	37145	7340
835	37152	7288
836	37159	7236
837	37166	7185
838	37174	7133
839	37181	7082
840	37188	7030
841	37195	6979
842	37203	6928
843	37210	6877
844	37217	6826
845	37224	6776
846	37230	6725
847	37237	6674
848	37243	6623
849	37250	6573
850	37257	6523
851	37264	6473
852	37270	6422
853	37276	6372
854	37283	6322
855	37290	6273
856	37297	6223
857	37304	6173
858	37311	6124
859	37317	6075
860	37324	6025
861	37331	5976
862	37338	5927
863	37344	5878
864	37352	5829
865	37359	5780
866	37366	5732
867	37372	5683
868	37379	5634
869	37387	5586
870	37396	5538
871	37403	5490
872	37410	5442
873	37418	5394
874	37426	5346
875	37433	5298
876	37440	5251
877	37447	5203
878	37454	5155
879	37461	5108
880	37468	5061
881	37475	5013
882	37481	4966
883	37487	4919
884	37494	4872
885	37501	4825
886	37508	4778
